"Name","Start","End","Length","R","W","X","Volatile","Artificial","Overlayed Space","Type","Initialized","Byte Source","Source","Comment"
"SEGS","0000:0000","0000:07ff","0x800","true","true","false","false","false","","Default","false","uninit[0x800]","","Hack to allow decompiling segment registers"
"PSP","0ff0:0000","0ff0:00ff","0x100","true","true","true","false","false","","Default","false","uninit[0x100]","","Program Segment Prefix"
"_TEXT_crt","1000:0000","1000:301b","0x301c","true","true","true","false","false","","Default","true","STRONG.EXE[0x1e00\, 0x301c]","mz",""
"_TEXT_main","1301:000c","1301:08d1","0x8c6","true","true","true","false","false","","Default","true","STRONG.EXE[0x4e1c\, 0x8c6]","",""
"_TEXT_mouse","138e:0002","138e:01ca","0x1c9","true","true","true","false","false","","Default","true","STRONG.EXE[0x56e2\, 0x1c9]","",""
"_TEXT_video","13aa:000b","13aa:0591","0x587","true","true","true","false","false","","Default","true","STRONG.EXE[0x58ab\, 0x587]","",""
"_OVRTEXT_","1403:0002","1403:125f","0x125e","true","true","true","false","false","","Default","true","STRONG.EXE[0x5e32\, 0x125e]","",""
"CODE_5","1529:0000","1529:00ff","0x100","true","true","true","false","false","","Default","true","STRONG.EXE[0x7090\, 0x100]","mz",""
"CODE_6","1539:0000","1539:179f","0x17a0","true","true","true","false","false","","Default","true","STRONG.EXE[0x7190\, 0x17a0]","mz",""
"CODE_7","16b3:0000","16b3:04ff","0x500","true","true","true","false","false","","Default","true","STRONG.EXE[0x8930\, 0x500]","mz",""
"CODE_8","1703:0000","1703:022f","0x230","true","true","true","false","false","","Default","true","STRONG.EXE[0x8e30\, 0x230]","mz",""
"CODE_9","1726:0000","1726:0d1f","0xd20","true","true","true","false","false","","Default","true","STRONG.EXE[0x9060\, 0xd20]","mz",""
"CODE_10","17f8:0000","17f8:164f","0x1650","true","true","true","false","false","","Default","true","STRONG.EXE[0x9d80\, 0x1650]","mz",""
"CODE_11","195d:0000","195d:596f","0x5970","true","true","true","false","false","","Default","true","STRONG.EXE[0xb3d0\, 0x5970]","mz",""
"CODE_12","1ef4:0000","1ef4:285f","0x2860","true","true","true","false","false","","Default","true","STRONG.EXE[0x10d40\, 0x2860]","mz",""
"CODE_13","217a:0000","217a:013f","0x140","true","true","true","false","false","","Default","true","STRONG.EXE[0x135a0\, 0x140]","mz",""
"CODE_14","218e:0000","218e:022f","0x230","true","true","true","false","false","","Default","true","STRONG.EXE[0x136e0\, 0x230]","mz",""
"CODE_15","21b1:0000","21b1:040f","0x410","true","true","true","false","false","","Default","true","STRONG.EXE[0x13910\, 0x410]","mz",""
"CODE_16","21f2:0000","21f2:038f","0x390","true","true","true","false","false","","Default","true","STRONG.EXE[0x13d20\, 0x390]","mz",""
"CODE_17","222b:0000","222b:01ef","0x1f0","true","true","true","false","false","","Default","true","STRONG.EXE[0x140b0\, 0x1f0]","mz",""
"CODE_18","224a:0000","224a:012f","0x130","true","true","true","false","false","","Default","true","STRONG.EXE[0x142a0\, 0x130]","mz",""
"_OVRDATA_","225d:0000","225d:010f","0x110","true","true","true","false","false","","Default","true","STRONG.EXE[0x143d0\, 0x110]","mz",""
"_OVR_STUB_","226e:0000","226e:001f","0x20","true","true","true","false","false","","Default","true","STRONG.EXE[0x144e0\, 0x20]","mz",""
"_EMSSEG_","2270:0000","2270:000f","0x10","true","true","true","false","false","","Default","true","STRONG.EXE[0x14500\, 0x10]","mz",""
