"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"DOS_ProgramTerminate","DOS21::00000000","Function","Global","User Defined","0","0"
"DOS_CharacterInput","DOS21::00000001","Function","Global","User Defined","0","0"
"DOS_CharacterOutput","DOS21::00000002","Function","Global","User Defined","0","0"
"DOS_AuxilaryInput","DOS21::00000003","Function","Global","User Defined","0","0"
"DOS_AuxilaryOutput","DOS21::00000004","Function","Global","User Defined","0","0"
"DOS_PrinterOutput","DOS21::00000005","Function","Global","User Defined","0","0"
"DOS_DirectConsoleIO","DOS21::00000006","Function","Global","User Defined","0","0"
"DOS_DirectConsoleInputNoEcho","DOS21::00000007","Function","Global","User Defined","0","0"
"DOS_ConsoleInputNoEcho","DOS21::00000008","Function","Global","User Defined","0","0"
"DOS_DisplayString","DOS21::00000009","Function","Global","User Defined","0","0"
"DOS_BufferedInput","DOS21::0000000a","Function","Global","User Defined","0","0"
"DOS_GetInputStatus","DOS21::0000000b","Function","Global","User Defined","0","0"
"DOS_FlushAndInput","DOS21::0000000c","Function","Global","User Defined","0","0"
"DOS_DiskReset","DOS21::0000000d","Function","Global","User Defined","0","0"
"DOS_SetDefaultDrive","DOS21::0000000e","Function","Global","User Defined","0","0"
"DOS_OpenFileFCB","DOS21::0000000f","Function","Global","User Defined","0","0"
"DOS_CloseFileFCB","DOS21::00000010","Function","Global","User Defined","0","0"
"DOS_FindFirstFileFCB","DOS21::00000011","Function","Global","User Defined","0","0"
"DOS_FindNextFileFCB","DOS21::00000012","Function","Global","User Defined","0","0"
"DOS_DeleteFileFCB","DOS21::00000013","Function","Global","User Defined","0","0"
"DOS_ReadFileFCB","DOS21::00000014","Function","Global","User Defined","0","0"
"DOS_WriteFileFCB","DOS21::00000015","Function","Global","User Defined","0","0"
"DOS_CreateFileFCB","DOS21::00000016","Function","Global","User Defined","0","0"
"DOS_RenameFileFCB","DOS21::00000017","Function","Global","User Defined","0","0"
"DOS_Reserved18","DOS21::00000018","Function","Global","User Defined","0","0"
"DOS_GetDefaultDrive","DOS21::00000019","Function","Global","User Defined","0","0"
"DOS_SetDiskTransferArea","DOS21::0000001a","Function","Global","User Defined","0","0"
"DOS_GetCurDriveAllocInfo","DOS21::0000001b","Function","Global","User Defined","0","0"
"DOS_GetDriveAllocInfo","DOS21::0000001c","Function","Global","User Defined","0","0"
"DOS_Reserved1D","DOS21::0000001d","Function","Global","User Defined","0","0"
"DOS_Reserved1E","DOS21::0000001e","Function","Global","User Defined","0","0"
"DOS_GetCurDriveParamBlock","DOS21::0000001f","Function","Global","User Defined","0","0"
"DOS_Reserved20","DOS21::00000020","Function","Global","User Defined","0","0"
"DOS_RandomRead","DOS21::00000021","Function","Global","User Defined","0","0"
"DOS_RandomWrite","DOS21::00000022","Function","Global","User Defined","0","0"
"DOS_GetFilesizeInRecords","DOS21::00000023","Function","Global","User Defined","0","0"
"DOS_SetRandomRecordNumber","DOS21::00000024","Function","Global","User Defined","0","0"
"DOS_SetInterruptHandler","DOS21::00000025","Function","Global","User Defined","1","0"
"DOS_CreatePSP","DOS21::00000026","Function","Global","User Defined","0","0"
"DOS_RandomBlockRead","DOS21::00000027","Function","Global","User Defined","0","0"
"DOS_RandomBlockWrite","DOS21::00000028","Function","Global","User Defined","0","0"
"DOS_ParseFilename","DOS21::00000029","Function","Global","User Defined","0","0"
"DOS_GetSystemDate","DOS21::0000002a","Function","Global","User Defined","0","0"
"DOS_SetSystemDate","DOS21::0000002b","Function","Global","User Defined","0","0"
"DOS_GetSystemTime","DOS21::0000002c","Function","Global","User Defined","0","0"
"DOS_SetSystemTime","DOS21::0000002d","Function","Global","User Defined","0","0"
"DOS_SetVerifyFlag","DOS21::0000002e","Function","Global","User Defined","0","0"
"DOS_GetDTAAddress","DOS21::0000002f","Function","Global","User Defined","0","0"
"DOS_GetDOSVersion","DOS21::00000030","Function","Global","User Defined","2","0"
"DOS_TerminateAndStayResident","DOS21::00000031","Function","Global","User Defined","0","0"
"DOS_GetDiskInfo","DOS21::00000032","Function","Global","User Defined","0","0"
"DOS_GetSetCtrlBreakFlag","DOS21::00000033","Function","Global","User Defined","0","0"
"DOS_ReentrancyStatusPtr","DOS21::00000034","Function","Global","User Defined","0","0"
"DOS_GetInterruptHandler","DOS21::00000035","Function","Global","User Defined","1","0"
"DOS_GetFreeDiskSpace","DOS21::00000036","Function","Global","User Defined","0","0"
"DOS_GetSetSwitchChar","DOS21::00000037","Function","Global","User Defined","0","0"
"DOS_GetSetCountryInfo","DOS21::00000038","Function","Global","User Defined","0","0"
"DOS_CreateDirectory","DOS21::00000039","Function","Global","User Defined","0","0"
"DOS_RemoveDirectory","DOS21::0000003a","Function","Global","User Defined","0","0"
"DOS_SetCurrentDirectory","DOS21::0000003b","Function","Global","User Defined","0","0"
"DOS_CreateFile","DOS21::0000003c","Function","Global","User Defined","0","0"
"DOS_OpenFile","DOS21::0000003d","Function","Global","User Defined","2","0"
"DOS_CloseFile","DOS21::0000003e","Function","Global","User Defined","3","0"
"DOS_ReadFile","DOS21::0000003f","Function","Global","User Defined","2","0"
"DOS_WriteFile","DOS21::00000040","Function","Global","User Defined","2","0"
"DOS_DeleteFile","DOS21::00000041","Function","Global","User Defined","0","0"
"DOS_SetFilePosition","DOS21::00000042","Function","Global","User Defined","2","0"
"DOS_GetSetFileAttributes","DOS21::00000043","Function","Global","User Defined","0","0"
"DOS_DuplicateHandle","DOS21::00000045","Function","Global","User Defined","0","0"
"DOS_RedirectHandle","DOS21::00000046","Function","Global","User Defined","0","0"
"DOS_GetCurrentDirectory","DOS21::00000047","Function","Global","User Defined","0","0"
"DOS_AllocateMemory","DOS21::00000048","Function","Global","User Defined","0","0"
"DOS_ReleaseMemory","DOS21::00000049","Function","Global","User Defined","0","0"
"DOS_ReallocateMemory","DOS21::0000004a","Function","Global","User Defined","0","0"
"DOS_ExecuteProgram","DOS21::0000004b","Function","Global","User Defined","0","0"
"DOS_TerminateWithReturnCode","DOS21::0000004c","Function","Global","User Defined","1","0"
"DOS_GetReturnCode","DOS21::0000004d","Function","Global","User Defined","0","0"
"DOS_FindFirstWildcardMatch","DOS21::0000004e","Function","Global","User Defined","0","0"
"DOS_FindNextWildcardMatch","DOS21::0000004f","Function","Global","User Defined","0","0"
"DOS_SetCurrentPSP","DOS21::00000050","Function","Global","User Defined","0","0"
"DOS_GetCurrentPSP","DOS21::00000051","Function","Global","User Defined","0","0"
"DOS_GetSYSVARS","DOS21::00000052","Function","Global","User Defined","0","0"
"DOS_GreateDiskParmeterBlock","DOS21::00000053","Function","Global","User Defined","0","0"
"DOS_GetVerifyFlag","DOS21::00000054","Function","Global","User Defined","0","0"
"DOS_CreateProgramPSP","DOS21::00000055","Function","Global","User Defined","0","0"
"DOS_RenameFile","DOS21::00000056","Function","Global","User Defined","0","0"
"DOS_GetSetFileDateTime","DOS21::00000057","Function","Global","User Defined","0","0"
"DOS_GetSetAllocationStrategy","DOS21::00000058","Function","Global","User Defined","0","0"
"DOS_GetExtendedErrorInfo","DOS21::00000059","Function","Global","User Defined","0","0"
"DOS_CreateUniqueFile","DOS21::0000005a","Function","Global","User Defined","0","0"
"DOS_CreateNewFile","DOS21::0000005b","Function","Global","User Defined","0","0"
"DOS_LockFile","DOS21::0000005c","Function","Global","User Defined","0","0"
"DOS_FileSharingFunctions","DOS21::0000005d","Function","Global","User Defined","0","0"
"DOS_NetworkFunctions","DOS21::0000005e","Function","Global","User Defined","0","0"
"DOS_NetworkRedirection","DOS21::0000005f","Function","Global","User Defined","0","0"
"DOS_QualifyFilename","DOS21::00000060","Function","Global","User Defined","0","0"
"DOS_Reserved61","DOS21::00000061","Function","Global","User Defined","0","0"
"DOS_62GetCurrentPSP","DOS21::00000062","Function","Global","User Defined","0","0"
"DOS_GetDBCSPtr","DOS21::00000063","Function","Global","User Defined","0","0"
"DOS_SetWaitExternalEventFlag","DOS21::00000064","Function","Global","User Defined","0","0"
"DOS_GetExtendedCountryInfo","DOS21::00000065","Function","Global","User Defined","0","0"
"DOS_GetSetCodepage","DOS21::00000066","Function","Global","User Defined","0","0"
"DOS_SetHandleCount","DOS21::00000067","Function","Global","User Defined","0","0"
"DOS_CommitFile","DOS21::00000068","Function","Global","User Defined","0","0"
"DOS_GetSetMediaId","DOS21::00000069","Function","Global","User Defined","0","0"
"DOS_6aCommitFile","DOS21::0000006a","Function","Global","User Defined","0","0"
"DOS_Reserved6b","DOS21::0000006b","Function","Global","User Defined","0","0"
"DOS_ExtendedOpenCreateFile","DOS21::0000006c","Function","Global","User Defined","0","0"
"EXT_FUN_0000_0000","External[0000:0000]","External Function","<EXTERNAL>","Default","0","0"
"EXT_FUN_9000_9990","External[9000:9990]","External Function","<EXTERNAL>","Default","0","0"
"EXT_FUN_ffff_0010","External[ffff:0010]","External Function","<EXTERNAL>","Default","0","0"
"segh","0000:0000","Data Label","Global","User Defined","0","15"
"segh2","0000:0020","Data Label","Global","User Defined","1","4"
"_pspseg","0ff0:0000","Data Label","Global","User Defined","1","3"
"startx","1000:0000","Function","Global","User Defined","1","1"
"__OVRGROUP","1000:0002","Label","startx","User Defined","13","1"
"@@EnvLoop","1000:0034","Instruction Label","startx","User Defined","1","0"
"AskedStackOK","1000:0072","Instruction Label","startx","User Defined","1","0"
"InitFailed","1000:007b","Instruction Label","startx","User Defined","1","0"
"ExcessOfMemory","1000:007e","Instruction Label","startx","User Defined","1","0"
"@@DoChange","1000:00d2","Instruction Label","startx","User Defined","1","0"
"@@BadInit","1000:0106","Instruction Label","startx","User Defined","6","0"
"@@NoChange","1000:0109","Instruction Label","startx","User Defined","4","0"
"@@NotMidnight","1000:0125","Instruction Label","startx","User Defined","1","0"
"__cleanup","1000:0154","Function","Global","User Defined","1","0"
"__checknull","1000:0167","Function","Global","User Defined","1","0"
"_terminate","1000:0168","Function","Global","User Defined","1","0"
"ZeroDivision","1000:0171","Function","Global","User Defined","0","0"
"SaveVectors","1000:017a","Function","Global","User Defined","1","0"
"__restorezero","1000:01bd","Function","Global","Analysis","1","0"
"StartExit","1000:01ea","Function","Global","User Defined","4","0"
"@@StartLow","1000:01f4","Instruction Label","StartExit","User Defined","1","0"
"@@SaveEnd","1000:01f6","Instruction Label","StartExit","User Defined","1","0"
"@@TopOfTable","1000:01fa","Instruction Label","StartExit","User Defined","1","0"
"@@CompareHigh","1000:0210","Instruction Label","StartExit","User Defined","1","0"
"@@CheckPrior","1000:0214","Instruction Label","StartExit","User Defined","1","0"
"@@Next","1000:021c","Instruction Label","StartExit","User Defined","2","0"
"@@EndOfTable","1000:0221","Instruction Label","StartExit","User Defined","1","0"
"@@NearCall","1000:0239","Instruction Label","StartExit","User Defined","1","0"
"@@Done","1000:0240","Instruction Label","StartExit","User Defined","1","0"
"ErrorDisplay","1000:0241","Function","Global","User Defined","1","0"
"_abort","1000:0249","Function","Global","User Defined","5","0"
"MsgExit3","1000:024f","Instruction Label","_abort","User Defined","1","0"
"DGROUP@@","1000:0260","Data Label","Global","User Defined","5","0"
"fptr1000_0264","1000:0264","Data Label","Global","User Defined","1","1"
"fdata1000_0266","1000:0266","Data Label","Global","User Defined","1","1"
"fptr1000_0268","1000:0268","Data Label","Global","User Defined","1","1"
"fdata1000_026a","1000:026a","Data Label","Global","User Defined","1","1"
"FUN_1000_026c","1000:026c","Function","Global","Default","0","0"
"FUN_1000_0295","1000:0295","Function","Global","Default","0","0"
"FUN_1000_02c9","1000:02c9","Function","Global","Default","0","0"
"FUN_1000_032f","1000:032f","Function","Global","Default","0","0"
"FUN_1000_03c2","1000:03c2","Function","Global","Default","0","0"
"FUN_1000_044f","1000:044f","Function","Global","Default","0","0"
"FUN_1000_0472","1000:0472","Function","Global","Default","0","0"
"FUN_1000_04b3","1000:04b3","Function","Global","Default","0","0"
"FUN_1000_0532","1000:0532","Function","Global","Default","0","0"
"FUN_1000_05c5","1000:05c5","Function","Global","Default","0","0"
"FUN_1000_0632","1000:0632","Function","Global","Default","0","0"
"FUN_1000_069f","1000:069f","Function","Global","Default","0","0"
"FUN_1000_06c4","1000:06c4","Function","Global","Default","0","0"
"FUN_1000_06f8","1000:06f8","Function","Global","Default","1","0"
"FUN_1000_0730","1000:0730","Function","Global","Default","0","0"
"getset_intvec_FUN_1000_0776","1000:0776","Function","Global","User Defined","0","0"
"iret_extdoserrnfo_1000_07a7","1000:07a7","Function","Global","User Defined","0","0"
"FUN_1000_07e7","1000:07e7","Function","Global","Default","0","0"
"sRtOvrErr","1000:0803","Data Label","Global","User Defined","1","0"
"__OverlayHalt","1000:081a","Function","Global","User Defined","6","0"
"__FAR_RETURN","1000:0837","Function","Global","User Defined","1","0"
"_atexit","1000:0838","Function","Global","User Defined","0","0"
"_chdir","1000:0865","Function","Global","Analysis","0","0"
"FUN_1000_087d","1000:087d","Function","Global","Default","1","0"
